MOMO80II20250107,m4b80ii20250107_139510,CỬA HÀNG XUÂN THUỶ,CỬA HÀNG XUÂN THUỶ,Traditional Market,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOTX5X20250107,m4btx5x20250107_139400,BÁNH BAO NAM SANH,BÁNH BAO NAM SANH,Street stall,Phạm Thị Mai Chi,FNB,FOOD,COMFORT FOOD / STREET FOOD,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOSIT520250107,m4bsit520250107_139711,NHA KHOA BẢO NGHI,NHA KHOA BẢO NGHI,Other Retail,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOPAZQ20250107,m4bpazq20250107_139653,ĐINH VĂN ƯỚC,ĐINH VĂN ƯỚC,Grocery,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMORU7720250107,m4bru7720250107_139505,PHỐ TEA & COFFEE,PHỐ TEA & COFFEE,Cafe shop,Phạm Thị Mai Chi,FNB,BEVERAGE,COFFEE,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOO4Y520250107,m4bo4y520250107_139452,GIA DỤNG TỔNG HỢP THÀNH TRUNG,GIA DỤNG TỔNG HỢP THÀNH TRUNG,Other Retail,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOXIXY20250107,m4bxixy20250107_139465,RADIO COFFEE,RADIO COFFEE,Cafe shop,Phạm Thị Mai Chi,FNB,BEVERAGE,COFFEE,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOFOIG20250107,m4bfoig20250107_139167,NHUNG BÒ,NHUNG BÒ,Street stall,Phạm Thị Mai Chi,FNB,FOOD,COMFORT FOOD / STREET FOOD,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOGGOP20250107,m4bggop20250107_139431,TIỆM ĐIỆN LƯỢNG,TIỆM ĐIỆN LƯỢNG,Other Retail,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOIMED20250107,m4bimed20250107_139716,CUA HANG BUN DAU MAN TOM,CUA HANG BUN DAU MAN TOM,Other Retail,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMORMI020250108,m4brmi020250108_139719,BÁNH MÌ MOMMY,BÁNH MÌ MOMMY,Fast food,Phạm Thị Mai Chi,FNB,FOOD,FAST FOOD,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOGWS920250107,m4bgws920250107_139917,GIẶT SẤY MINT,GIẶT SẤY MINT,Barber and Beauty Shops,Phạm Thị Mai Chi,SERVICE,BEAUTY & SPA,CLINIC / SALON,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOVIY520250107,m4bviy520250107_139987,XE DIEN THANH BINH,XE DIEN THANH BINH,Phones/Laptop/PC,Phạm Thị Mai Chi,RETAIL,SHOPPING,HOME LIVING / ELECTRONICS,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOBGUZ20250107,m4bbguz20250107_139993,BẠC LINH ANH,BẠC LINH ANH,Other Retail,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,FIXED LOCATION,,04/02/2025,,,,Có mặt bằng,,2
MOMOAUS020250108,m4baus020250108_140267,TẠP HOÁ VINH CHIẾN,TẠP HOÁ VINH CHIẾN,Traditional Market,Phạm Thị Mai Chi,RETAIL,GROCERY,TRADITIONAL MARKET / GROCERY STORE / SPECIALTY STORE,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOXXOW20250108,m4bxxow20250108_140010,TRÁI CÂY CÔ THẾ,TRÁI CÂY CÔ THẾ,Street stall,Phạm Thị Mai Chi,FNB,FOOD,COMFORT FOOD / STREET FOOD,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
MOMOLRE520250108,m4blre520250108_139995,THỨC ĂN PHẠM THỊ NGUYỆT,THỨC ĂN PHẠM THỊ NGUYỆT,Street stall,Phạm Thị Mai Chi,FNB,FOOD,COMFORT FOOD / STREET FOOD,MOBILE LOCATION,,04/02/2025,,,,Không có mặt bằng,,2
